municipality,group,rent_yen,source
札幌市,北海道,112000,推計(県庁所在地・都市相場モデル/実測未取得)
青森市,東北,98000,推計(県庁所在地・都市相場モデル/実測未取得)
盛岡市,東北,104000,推計(県庁所在地・都市相場モデル/実測未取得)
仙台市,東北,128000,推計(県庁所在地・都市相場モデル/実測未取得)
秋田市,東北,102000,推計(県庁所在地・都市相場モデル/実測未取得)
山形市,東北,100000,推計(県庁所在地・都市相場モデル/実測未取得)
福島市,東北,102000,推計(県庁所在地・都市相場モデル/実測未取得)
水戸市,関東,105000,推計(県庁所在地・都市相場モデル/実測未取得)
宇都宮市,関東,108000,推計(県庁所在地・都市相場モデル/実測未取得)
前橋市,関東,103000,推計(県庁所在地・都市相場モデル/実測未取得)
さいたま市,関東,138000,推計(県庁所在地・都市相場モデル/実測未取得)
千葉市,関東,128000,推計(県庁所在地・都市相場モデル/実測未取得)
東京特別区部,関東,195000,推計(県庁所在地・都市相場モデル/実測未取得)
横浜市,関東,155000,推計(県庁所在地・都市相場モデル/実測未取得)
新潟市,中部,105000,推計(県庁所在地・都市相場モデル/実測未取得)
富山市,中部,102000,推計(県庁所在地・都市相場モデル/実測未取得)
金沢市,中部,112000,推計(県庁所在地・都市相場モデル/実測未取得)
福井市,中部,102000,推計(県庁所在地・都市相場モデル/実測未取得)
甲府市,中部,102000,推計(県庁所在地・都市相場モデル/実測未取得)
長野市,中部,103000,推計(県庁所在地・都市相場モデル/実測未取得)
岐阜市,中部,106000,推計(県庁所在地・都市相場モデル/実測未取得)
静岡市,中部,115000,推計(県庁所在地・都市相場モデル/実測未取得)
名古屋市,中部,135000,推計(県庁所在地・都市相場モデル/実測未取得)
津市,近畿,103000,推計(県庁所在地・都市相場モデル/実測未取得)
大津市,近畿,118000,推計(県庁所在地・都市相場モデル/実測未取得)
京都市,近畿,140000,推計(県庁所在地・都市相場モデル/実測未取得)
大阪市,近畿,148000,推計(県庁所在地・都市相場モデル/実測未取得)
神戸市,近畿,132000,推計(県庁所在地・都市相場モデル/実測未取得)
奈良市,近畿,112000,推計(県庁所在地・都市相場モデル/実測未取得)
和歌山市,近畿,100000,推計(県庁所在地・都市相場モデル/実測未取得)
鳥取市,中国,97000,推計(県庁所在地・都市相場モデル/実測未取得)
松江市,中国,100000,推計(県庁所在地・都市相場モデル/実測未取得)
岡山市,中国,110000,推計(県庁所在地・都市相場モデル/実測未取得)
広島市,中国,122000,推計(県庁所在地・都市相場モデル/実測未取得)
山口市,中国,100000,推計(県庁所在地・都市相場モデル/実測未取得)
徳島市,四国,102000,推計(県庁所在地・都市相場モデル/実測未取得)
高松市,四国,108000,推計(県庁所在地・都市相場モデル/実測未取得)
松山市,四国,104000,推計(県庁所在地・都市相場モデル/実測未取得)
高知市,四国,102000,推計(県庁所在地・都市相場モデル/実測未取得)
福岡市,九州,128000,推計(県庁所在地・都市相場モデル/実測未取得)
佐賀市,九州,99000,推計(県庁所在地・都市相場モデル/実測未取得)
長崎市,九州,104000,推計(県庁所在地・都市相場モデル/実測未取得)
熊本市,九州,110000,推計(県庁所在地・都市相場モデル/実測未取得)
大分市,九州,103000,推計(県庁所在地・都市相場モデル/実測未取得)
宮崎市,九州,98000,推計(県庁所在地・都市相場モデル/実測未取得)
鹿児島市,九州,108000,推計(県庁所在地・都市相場モデル/実測未取得)
那覇市,沖縄,120000,推計(県庁所在地・都市相場モデル/実測未取得)
