pref_code,region,prefecture,rent_yen,cost_coef,source
1,北海道,北海道,103000,0.86,推計(暮らしコストラボ2026係数モデル準拠)
2,東北,青森県,96000,0.80,推計(暮らしコストラボ2026係数モデル準拠)
3,東北,岩手県,97000,0.81,推計(暮らしコストラボ2026係数モデル準拠)
4,東北,宮城県,110000,0.92,推計(暮らしコストラボ2026係数モデル準拠)
5,東北,秋田県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠/係数は検索確認値)
6,東北,山形県,97000,0.81,推計(暮らしコストラボ2026係数モデル準拠)
7,東北,福島県,101000,0.84,推計(暮らしコストラボ2026係数モデル準拠)
8,関東,茨城県,103000,0.86,推計(暮らしコストラボ2026係数モデル準拠)
9,関東,栃木県,102000,0.85,推計(暮らしコストラボ2026係数モデル準拠)
10,関東,群馬県,101000,0.84,推計(暮らしコストラボ2026係数モデル準拠)
11,関東,埼玉県,122000,1.02,推計(暮らしコストラボ2026係数モデル準拠)
12,関東,千葉県,119000,0.99,推計(暮らしコストラボ2026係数モデル準拠)
13,関東,東京都,150000,1.25,推計(暮らしコストラボ2026:15万円=検索確認値)
14,関東,神奈川県,132000,1.10,推計(暮らしコストラボ2026:係数1.10=検索確認値)
15,中部,新潟県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
16,中部,富山県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
17,中部,石川県,104000,0.87,推計(暮らしコストラボ2026係数モデル準拠)
18,中部,福井県,101000,0.84,推計(暮らしコストラボ2026係数モデル準拠)
19,中部,山梨県,102000,0.85,推計(暮らしコストラボ2026係数モデル準拠)
20,中部,長野県,102000,0.85,推計(暮らしコストラボ2026係数モデル準拠)
21,中部,岐阜県,102000,0.85,推計(暮らしコストラボ2026係数モデル準拠)
22,中部,静岡県,108000,0.90,推計(暮らしコストラボ2026係数モデル準拠)
23,中部,愛知県,118000,0.98,推計(暮らしコストラボ2026係数モデル準拠)
24,近畿,三重県,102000,0.85,推計(暮らしコストラボ2026係数モデル準拠)
25,近畿,滋賀県,108000,0.90,推計(暮らしコストラボ2026係数モデル準拠)
26,近畿,京都府,120000,1.00,推計(暮らしコストラボ2026係数モデル準拠)
27,近畿,大阪府,130000,1.083,推計(暮らしコストラボ2026:13万円=検索確認値)
28,近畿,兵庫県,115000,0.96,推計(暮らしコストラボ2026係数モデル準拠)
29,近畿,奈良県,107000,0.89,推計(暮らしコストラボ2026係数モデル準拠)
30,近畿,和歌山県,98000,0.82,推計(暮らしコストラボ2026係数モデル準拠)
31,中国,鳥取県,96000,0.80,推計(暮らしコストラボ2026係数モデル準拠)
32,中国,島根県,97000,0.81,推計(暮らしコストラボ2026係数モデル準拠)
33,中国,岡山県,104000,0.87,推計(暮らしコストラボ2026係数モデル準拠)
34,中国,広島県,110000,0.92,推計(暮らしコストラボ2026係数モデル準拠)
35,中国,山口県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
36,四国,徳島県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
37,四国,香川県,103000,0.86,推計(暮らしコストラボ2026係数モデル準拠)
38,四国,愛媛県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
39,四国,高知県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
40,九州,福岡県,112000,0.93,推計(暮らしコストラボ2026係数モデル準拠)
41,九州,佐賀県,98000,0.82,推計(暮らしコストラボ2026係数モデル準拠)
42,九州,長崎県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
43,九州,熊本県,103000,0.86,推計(暮らしコストラボ2026係数モデル準拠)
44,九州,大分県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
45,九州,宮崎県,96000,0.80,推計(暮らしコストラボ2026係数モデル準拠)
46,九州,鹿児島県,100000,0.83,推計(暮らしコストラボ2026係数モデル準拠)
47,沖縄,沖縄県,106000,0.88,推計(暮らしコストラボ2026:係数0.88=検索確認値)
