town,ward,lat,lon,rent_yen,source
札幌駅前,中央区,43.068,141.350,155000,推計(町名相対相場モデル/実測未取得)
大通,中央区,43.060,141.353,150000,推計(町名相対相場モデル/実測未取得)
円山,中央区,43.052,141.320,150000,推計(町名相対相場モデル/実測未取得)
すすきの,中央区,43.055,141.353,145000,推計(町名相対相場モデル/実測未取得)
宮の森,中央区,43.060,141.300,140000,推計(町名相対相場モデル/実測未取得)
桑園,中央区,43.072,141.333,135000,推計(町名相対相場モデル/実測未取得)
琴似,西区,43.083,141.300,120000,推計(町名相対相場モデル/実測未取得)
北24条,北区,43.085,141.340,115000,推計(町名相対相場モデル/実測未取得)
菊水,白石区,43.050,141.370,115000,推計(町名相対相場モデル/実測未取得)
平岸,豊平区,43.030,141.370,115000,推計(町名相対相場モデル/実測未取得)
豊平,豊平区,43.045,141.375,110000,推計(町名相対相場モデル/実測未取得)
新札幌,厚別区,43.035,141.470,110000,推計(町名相対相場モデル/実測未取得)
北光,東区,43.075,141.363,110000,推計(町名相対相場モデル/実測未取得)
麻生,北区,43.113,141.340,110000,推計(町名相対相場モデル/実測未取得)
発寒,西区,43.095,141.270,105000,推計(町名相対相場モデル/実測未取得)
澄川,南区,43.015,141.380,105000,推計(町名相対相場モデル/実測未取得)
白石,白石区,43.048,141.400,105000,推計(町名相対相場モデル/実測未取得)
月寒,豊平区,43.020,141.400,105000,推計(町名相対相場モデル/実測未取得)
元町,東区,43.090,141.380,105000,推計(町名相対相場モデル/実測未取得)
南郷,白石区,43.040,141.410,103000,推計(町名相対相場モデル/実測未取得)
栄町,東区,43.110,141.375,100000,推計(町名相対相場モデル/実測未取得)
真駒内,南区,42.980,141.350,100000,推計(町名相対相場モデル/実測未取得)
清田,清田区,43.000,141.450,98000,推計(町名相対相場モデル/実測未取得)
手稲,手稲区,43.130,141.240,98000,推計(町名相対相場モデル/実測未取得)
篠路,北区,43.150,141.383,95000,推計(町名相対相場モデル/実測未取得)
藤野,南区,42.950,141.270,92000,推計(町名相対相場モデル/実測未取得)
