municipality,group,rent_yen,source
港区,23区,420000,推計(相対相場モデル/実測未取得)
千代田区,23区,400000,推計(相対相場モデル/実測未取得)
渋谷区,23区,380000,推計(相対相場モデル/実測未取得)
中央区,23区,350000,推計(相対相場モデル/実測未取得)
目黒区,23区,320000,推計(相対相場モデル/実測未取得)
新宿区,23区,300000,推計(相対相場モデル/実測未取得)
文京区,23区,285000,推計(相対相場モデル/実測未取得)
品川区,23区,280000,推計(相対相場モデル/実測未取得)
世田谷区,23区,260000,推計(相対相場モデル/実測未取得)
台東区,23区,250000,推計(相対相場モデル/実測未取得)
豊島区,23区,248000,推計(相対相場モデル/実測未取得)
江東区,23区,240000,推計(相対相場モデル/実測未取得)
中野区,23区,230000,推計(相対相場モデル/実測未取得)
大田区,23区,222000,推計(相対相場モデル/実測未取得)
杉並区,23区,220000,推計(相対相場モデル/実測未取得)
墨田区,23区,215000,推計(相対相場モデル/実測未取得)
北区,23区,205000,推計(相対相場モデル/実測未取得)
荒川区,23区,200000,推計(相対相場モデル/実測未取得)
板橋区,23区,192000,推計(相対相場モデル/実測未取得)
練馬区,23区,185000,推計(相対相場モデル/実測未取得)
江戸川区,23区,182000,推計(相対相場モデル/実測未取得)
足立区,23区,172000,推計(相対相場モデル/実測未取得)
葛飾区,23区,170000,推計(相対相場モデル/実測未取得)
武蔵野市,多摩,242000,推計(相対相場モデル/実測未取得)
三鷹市,多摩,205000,推計(相対相場モデル/実測未取得)
調布市,多摩,185000,推計(相対相場モデル/実測未取得)
狛江市,多摩,175000,推計(相対相場モデル/実測未取得)
府中市,多摩,172000,推計(相対相場モデル/実測未取得)
国分寺市,多摩,170000,推計(相対相場モデル/実測未取得)
小金井市,多摩,170000,推計(相対相場モデル/実測未取得)
西東京市,多摩,165000,推計(相対相場モデル/実測未取得)
立川市,多摩,162000,推計(相対相場モデル/実測未取得)
国立市,多摩,160000,推計(相対相場モデル/実測未取得)
稲城市,多摩,155000,推計(相対相場モデル/実測未取得)
小平市,多摩,152000,推計(相対相場モデル/実測未取得)
日野市,多摩,150000,推計(相対相場モデル/実測未取得)
町田市,多摩,150000,推計(相対相場モデル/実測未取得)
多摩市,多摩,145000,推計(相対相場モデル/実測未取得)
東村山市,多摩,142000,推計(相対相場モデル/実測未取得)
東大和市,多摩,140000,推計(相対相場モデル/実測未取得)
昭島市,多摩,140000,推計(相対相場モデル/実測未取得)
東久留米市,多摩,140000,推計(相対相場モデル/実測未取得)
八王子市,多摩,140000,推計(相対相場モデル/実測未取得)
清瀬市,多摩,135000,推計(相対相場モデル/実測未取得)
武蔵村山市,多摩,132000,推計(相対相場モデル/実測未取得)
羽村市,多摩,130000,推計(相対相場モデル/実測未取得)
福生市,多摩,130000,推計(相対相場モデル/実測未取得)
あきる野市,多摩,128000,推計(相対相場モデル/実測未取得)
青梅市,多摩,122000,推計(相対相場モデル/実測未取得)
